Abbreviation,Frame,X (m),Y (m),Z (m)
BFa,spine,-0.0024,0.0045,0.0031
BFa,femur,-0.0001,-0.0302,0.0016
BFp,pelvis,-0.0131,0.0024,-0.0023
BFp,tibia,0.0035,0.0239,0.0026
CF,spine,-0.0039,0.0063,0.0035
CF,femur,-0.0025,-0.0262,-0.002
STp,spine,-0.0056,0.0041,0.0037
STp,tibia,0.0047,0.0231,0.0
STa,pelvis,-0.0145,0.0012,-0.0009
STa,tibia,0.0047,0.0231,0.0
SM,pelvis,-0.0137,-0.0011,-0.0037
SM,tibia,0.0022,0.035,-0.0026
QF,pelvis,-0.0106,-0.0007,-0.0024
QF,femur,-0.0029,-0.0044,0.0011
TFL,pelvis,0.0213,0.0006,0.0026
TFL,femur,0.0057,-0.0178,0.0031
GMa,spine,0.0202,0.0056,0.0041
GMa,femur,-0.0015,-0.0098,0.0064
GMe,pelvis,0.0202,0.004,-0.0001
GMe,femur,-0.0027,-0.0033,0.0064
GMi,pelvis,0.013,0.0009,0.0004
GMi,femur,-0.0004,-0.0001,0.0048
Pir,pelvis,0.0114,0.0042,-0.0007
Pir,femur,-0.0014,0.0009,0.004
GP,pelvis,-0.0148,-0.0055,-0.0063
GP,tibia,0.0049,0.0266,-0.0018
GA,pelvis,-0.0065,-0.0059,-0.0061
GA,tibia,0.0032,0.0289,-0.0017
AL,pelvis,-0.0045,-0.005,-0.0053
AL,femur,-0.0016,-0.017,0.0011
AM,pelvis,-0.0061,-0.0053,-0.0056
AM,femur,-0.0006,-0.03,-0.0031
AB,pelvis,-0.0107,-0.0058,-0.0066
AB,femur,-0.0016,-0.0164,0.0035
Pec,pelvis,0.0009,-0.0034,-0.0033
Pec,femur,-0.0018,-0.0107,0.0019
IP,spine,0.0537,0.005,0.003
IP,femur,-0.0021,-0.0053,0.0001
OE,pelvis,-0.0089,-0.0027,-0.0031
OE,femur,-0.0016,0.0005,0.0035
OI,pelvis,-0.0063,0.0048,-0.0026
OI,femur,-0.0019,0.0007,0.0024
GS,pelvis,0.0029,0.0014,-0.0022
GS,femur,-0.0011,0.0015,0.0024
GI,pelvis,-0.0056,0.0024,-0.0013
GI,femur,-0.0031,-0.0007,0.0021
RF,pelvis,0.0045,-0.0001,0.0015
RF,tibia,0.0026,0.0375,0.0005
VL,femur,-0.0011,-0.0036,0.0056
VL,tibia,0.0026,0.0375,0.0005
VI,femur,0.0008,-0.0116,0.0032
VI,tibia,0.0026,0.0375,0.0005
VM,femur,-0.0002,-0.0074,0.0012
VM,tibia,0.0026,0.0375,0.0005
MG,femur,-0.0027,-0.0278,-0.0021
MG,foot,-0.004,0.0004,0.001
LG,femur,-0.003,-0.0284,0.0017
LG,foot,-0.004,0.0004,0.001
Pla,femur,-0.0023,-0.0275,0.0011
Pla,foot,-0.004,0.0004,0.001
Sol,tibia,-0.0033,0.0335,0.0024
Sol,foot,-0.004,0.0004,0.001
TA,tibia,0.0033,0.0336,0.0026
TA,foot,0.0048,-0.0022,-0.0007
EDL,tibia,0.0012,0.0392,0.0028
EDL,foot,0.0034,-0.0017,0.0011
TP,tibia,-0.0015,0.0339,0.0001
TP,foot,-0.0007,-0.0017,-0.0011
FDL,tibia,-0.0025,0.0354,0.0
FDL,foot,-0.0007,-0.0017,-0.0011
FHL,tibia,-0.0015,0.0339,0.0001
FHL,foot,-0.0007,-0.0017,-0.0011
Per,tibia,-0.0019,0.0353,0.0029
Per,foot,0.0028,-0.0027,0.0017
Pop,femur,-0.0024,-0.0308,0.0017
Pop,tibia,0.0006,0.0271,-0.0023
