Abbreviation,Type,Frame,X Centroid (mm),X Breadth (mm),Y Centroid (mm),Y Breadth (mm),Z Centroid (mm),Z Breadth (mm)
BFa,Origin,Hip,-6.77,2.65,8.75,0.19,-6,0.84
BFp,Origin,Hip,-13.65,1.93,2.38,0.93,-2.33,0.95
CF,Origin,Hip,-8.1,0.78,10.15,0.39,-6.88,0.1
STa,Origin,Hip,-10.09,3.59,8.81,2.42,-5.59,0.58
STp,Origin,Hip,-15.19,0.18,1.17,0.71,-0.98,2.08
SM,Origin,Hip,-14.39,0.8,-0.69,3.87,-3.35,1.94
QF,Origin,Hip,-10.61,0.38,0.12,3.66,-1.77,1.81
TFL,Origin,Hip,21.65,2.38,0.61,1.49,2.67,3.29
GMa,Origin,Hip,16.14,9.65,9.53,3.39,-3.13,6.42
GMe,Origin,Hip,17.88,8.24,10.44,0.21,-1.52,7.04
GMi,Origin,Hip,13.46,7.48,1,1.3,0.5,0.66
Pir,Origin,Hip,11.58,10.05,4.3,0.06,-0.74,4.82
GP,Origin,Hip,-15.47,0,-5.44,0.84,-6.31,2.48
GA,Origin,Hip,-6.36,2.45,-5.97,0.4,-6.09,0.78
AL,Origin,Hip,-4.11,3.99,-4.97,0.86,-5.33,2.97
AM,Origin,Hip,-5.97,4.13,-5.27,2.09,-5.67,0.16
AB,Origin,Hip,-10.86,3.72,-5.88,0.49,-6.67,0.57
Pec,Origin,Hip,1.52,1.98,-3.29,2.17,-3.07,1.1
IP,Origin,Hip,38.86,13.03,4.06,0.35,2.86,1.93
OE,Origin,Hip,-8.87,1.19,-2.49,2.48,-3.11,0.6
OI,Origin,Hip,-6.76,3.23,4.92,0.34,-2.72,1.57
GS,Origin,Hip,2.75,4.36,1.35,0.77,-2.26,0.33
GI,Origin,Hip,-6.2,5.8,2.45,1.04,-1.41,0.17
RF,Origin,Hip,4.99,1.38,0.07,0.8,1.93,1.23
BFa,Insertion,Femur,-0.06,0.24,-30.6,2.18,1.56,1.47
CF,Insertion,Femur,-2.66,0.42,-26.57,1.53,-2.03,0.53
QF,Insertion,Femur,-3.01,0.68,-4.01,1.32,1.17,1.56
TFL,Insertion,Femur,5.96,4.15,-17.68,7.37,3.22,0.79
GMa,Insertion,Femur,-1.49,0.71,-9.62,2.25,6.39,1.47
GMe,Insertion,Femur,-2.72,0.65,-3.25,2.78,6.43,1.61
GMi,Insertion,Femur,-0.44,1.44,0.11,0.19,4.82,0.34
Pir,Insertion,Femur,-1.46,1.69,1.36,0.46,4.02,0.19
