Abbreviation,Muscle Name,Mass (mg),±,l0 (mm),±,θ0 (deg),±,P0 (g) arch,±,Fo (N),±,P0 (g) phy,±,vmax (mm/s) arch,±,vmax (mm/s) phys,±,lts (mm),±
AB,adductor brevis,1087,157,22.8,0.4,12,5,1246,80,12.21,0.784,,,406,21,,,0,0
AL,adductor longus,94,19,16.6,2.1,9,4,106,15,1.039,0.147,,,93,17,,,4.5,0.3
AM,adductor magnus,280,93,28.4,1,0,0,308,24,3.02,0.235,,,506,32,,,0,0
BFa,biceps femoris anterior,470,99,39.7,3.9,0,1,346,23,3.39,0.225,,,706,60,,,0,0
BFp,biceps femoris posterior,1655,348,37.6,1.7,7,5,1274,83,12.49,0.813,,,669,71,,,0,0
CF,caudofemoralis,275,91,37.9,3.2,0,0,210,25,2.06,0.245,,,675,77,,,0,0
EDL,extensor digitorum longus,146,14,13.7,1.0,10,3,225,8,2.21,0.078,265,65,243,15,205,13,9,0.4
EHL,extensor hallucis longus,13,2,12.1,0.8,5,3,25,2,0.25,0.020,,,216,22,,,13.6,1.2
FDL,flexor digitorum longus,470,53,9,0.5,11,5,1124,217,11.02,2.127,1344,494,160,33,140,17,8.7,0.8
FHL,flexor hallucis longus,22,1,10.8,1.0,2,4,45,1,0.44,0.010,,,193,6,,,9.7,0.0
GI,gemellus inferior,55,2,4.2,0.2,18,7,291,38,2.85,0.372,,,74,9,,,0,0
GS,gemellus superior,12,2,6.1,1.1,10,14,38,13,0.37,0.127,,,109,31,,,0,0
GMa,gluteus maximus,793,33,19.6,4.7,12,10,942,276,9.23,2.705,,,349,75,,,4.8,0.4
GMe,gluteus medius,1444,182,19.9,2.7,12,2,1912,233,18.74,2.283,,,355,35,,,0,0
GMi,gluteus minimus,378,25,11.8,0.3,16,9,754,61,7.39,0.598,,,211,22,,,0,0
GA,gracilis anterior,168,32,30.3,4.9,0,0,158,10,1.55,0.098,,,539,50,,,0,0
GP,gracilis posterior,246,43,29.3,4.1,3,4,240,35,2.35,0.343,,,163,27,,,0.9,0.1
IP,iliacus,999,77,22.3,0.9,7,4,1043,84,10.22,0.823,,,402,50,,,,""
IP,illiopsoas,1179,126,23.8,3.3,15,3,1151,157,11.28,1.539,,,418,64,,,4.1,0.0
LG,lateral gastrocnemius,805,161,12.5,0.8,9,6,1863,116,18.26,1.137,1734,43,223,17,209,17,9.4,0.3
MG,medial gastrocnemius,720,56,14.6,0.4,13,4,1188,92,11.64,0.902,1364,30,260,25,238,6,9.1,0.3
OE,obturator externus,194,13,6,0.8,16,6,732,80,7.17,0.784,,,106,10,,,0,0
OI,obturator internus,54,11,4.5,0.7,7,6,307,35,3.01,0.343,,,81,10,,,2.8,4.0
Pec,pectineus,233,17,10.9,0.7,7,1,503,14,4.93,0.137,,,193,2,,,0,0
PerB,peroneus brevis,88,11,8.6,0.9,6,7,243,20,2.38,0.196,501,40,152,16,117,4,10.3,0.2
PerL,peroneus longus,131,16,7.6,0.3,9,2,404,32,3.96,0.314,622,122,135,12,113,7,12.7,0.1
PerQa,peroneus digiti quarti,31,4,8.8,1.9,7,5,86,15,0.84,0.147,139,2,157,36,116,19,9.1,1.4
PerQi,peroneus digiti quinti,21,3,8.6,0.8,4,1,56,3,0.55,0.029,113,22,152,13,116,4,19.6,0.9
Pir,piriformis,478,60,10.8,1.6,16,8,1137,123,11.14,1.205,,,193,19,,,0,0
Pla,plantaris,308,27,12.5,1.5,11,4,572,56,5.61,0.549,792,13,223,17,207,13,6.7,0.2
Pop,popliteus,90,5,6.5,0.6,13,6,298,17,2.92,0.167,,,115,5,,,0,0
QF,quadratus femoris,155,14,11,1.0,3,2,306,18,3.00,0.176,,,197,15,,,0,0
SM,semimembranosus,1291,320,35.7,1.0,0,0,1043,69,10.22,0.676,,,634,57,,,0,0
STa,semitendinosus accessory,177,25,34.1,6.4,0,0,142,23,1.39,0.225,,,607,95,,,0,0
STp,semitendinosus principal,707,101,43.6,10.4,0,0,463,148,4.54,1.450,,,775,193,,,0,0
Sol,soleus,155,27,16,5.1,4,9,145,27,1.42,0.265,234,29,89,22,93,11,9.5,0.5
TFL,tensor fascia latae,362,15,20.6,0.6,11,8,397,30,3.89,0.294,,,367,27,,,0,0
TA,tibialis anterior,542,60,15.2,0.7,9,4,878,81,8.60,0.794,1004,45,271,29,290,6,11.9,1.5
TP,tibialis posterior,85,5,5.4,1.4,5,3,361,83,3.54,0.813,605,51,97,31,68,1,12.4,0.2
RF,rectus femoris,900,67,12.2,0.9,11,5,1681,86,16.47,0.843,1859,71,216,19,227,13,6.6,0.8
VI,vastus intermedius,181,12,11.6,0.6,14,3,260,25,2.55,0.245,,,65,9,,,6.6,0.8
VL,vastus lateralis,1113,170,19.8,0.3,14,3,1517,79,14.87,0.774,,,352,25,,,6.6,0.8
VM,vastus medialis,396,26,15.6,1.3,11,6,620,73,6.08,0.715,611,87,278,34,161,3,6.6,0.8
