Abbreviation,Johnson TSL (mm),Full ROM TSL (mm),Walk TSL (mm)
AB,0.0,0.0,4.824646341311321
AL,4.5,0.0,0.0
AM,0.0,4.491423747989217,7.0292975206673
BFa,0.0,0.1941352706359301,8.51137165508455
BFp,0.0,4.8669462194635225,6.346311518338413
CF,0.0,0.0,0.0
EDL,9.0,41.555625448795944,43.47452130938293
FDL,8.7,47.22572959284497,48.63526015140459
FHL,9.7,42.72594919672543,44.27624807136486
GA,0.0,3.594959734994325,5.267912532832775
GI,0.0,8.444205755567188,8.594904600078086
GMa,4.8,0.0,0.0
GMe,0.0,4.930745267179822,7.698556622940334
GMi,0.0,10.839176146736776,12.488064646272871
GP,0.9,6.240571297723115,6.3940545722263415
GS,0.0,12.588681181409276,12.338416302531046
IP,4.1,0.0,0.0
LG,9.4,33.06070102660939,33.476740334174664
MG,9.1,31.88180757129435,33.21933437687357
OE,0.0,3.340192232202747,4.019771622768544
OI,2.8,8.308518015752668,8.27450439354529
Pec,0.0,8.010170474825843,12.64116414543579
Per,12.7,38.562773981980165,39.87563330871317
Pir,0.0,2.1329038407875958,4.043760339804551
Pla,6.7,33.143829436507666,33.08655270314718
Pop,0.0,13.078358904409125,12.488469582207474
QF,0.0,3.0099749081964013,3.9083900939615073
RF,6.6,26.58046200274077,28.293754112431287
SM,0.0,0.0,5.831992117490454
STa,0.0,9.699306320214308,13.24871419462351
STp,0.0,0.0,0.0
Sol,9.5,22.340772867601185,24.48814965870208
TA,11.9,23.939700761962914,25.131835760761827
TFL,0.0,1.6517742638937811,0.3436382530821289
TP,12.4,37.585758599257886,38.56053161189929
VI,6.6,23.26373280248194,26.95441510456063
VL,6.6,20.378725150697196,24.474270036601215
VM,6.6,23.510293144955472,27.818866993862045
